country,total_cases,total_deaths,total_recovered,active_cases,total_test,population,death_rate(%),recovery_rate(%),incidence_rate
Hungary,2192447.0,48677.0,2139857.0,3913.0,11394556.0,9606259.0,2.2202133050422654,97.60131031673743,228.23109391491528
New Zealand,2182355.0,3781.0,2169320.0,9254.0,7710637.0,4898203.0,0.1732532058258166,99.40270945836035,445.5419671254948
Bangladesh,2037556.0,29442.0,1992694.0,15420.0,15247014.0,167885689.0,1.4449664205548214,97.798244563585,12.13656751886696
Slovakia,1860893.0,20946.0,1839309.0,638.0,7390781.0,5460193.0,1.12558862868526,98.84012675634763,340.8108467960748
Georgia,1814180.0,16926.0,1776548.0,20706.0,16920079.0,3968738.0,0.9329834966761843,97.92567440937503,457.11760262330245
Jordan,1746997.0,14122.0,1731007.0,1868.0,17201885.0,10300869.0,0.8083585718807761,99.08471508537221,169.59705050127323
Ireland,1700253.0,8462.0,1685183.0,6608.0,12984257.0,5020199.0,0.4976906378050796,99.11366131981535,338.6823908773338
Pakistan,1576313.0,30640.0,1538689.0,6984.0,30570862.0,229488994.0,1.9437763946627349,97.61316439057471,6.868795633833316
Norway,1477856.0,5112.0,1471835.0,909.0,11002430.0,5511370.0,0.3459065023926553,99.59258547517484,268.1467584284851
Finland,1458619.0,8639.0,1447569.0,2411.0,12017711.0,5554960.0,0.5922725536963388,99.24243411062108,262.5795685297464
Kazakhstan,1405917.0,13695.0,1383020.0,9202.0,11575012.0,19205043.0,0.974097332915101,98.37138323243832,73.2056158374652
Slovenia,1321852.0,7056.0,1311159.0,3637.0,2824843.0,2078034.0,0.5337965218496473,99.19105921086475,636.1070126860292
Lithuania,1296865.0,9545.0,1282528.0,4792.0,10350770.0,2661708.0,0.7360056752244837,98.89448786111122,487.23037989140806
Bulgaria,1295426.0,38179.0,1254491.0,2756.0,10987749.0,6844597.0,2.9472158193520896,96.84003563306588,189.26256724829818
Morocco,1272240.0,16296.0,1255881.0,63.0,12930733.0,37772756.0,1.2808903980381061,98.71415770609319,33.68141842760957
Croatia,1267580.0,17877.0,1249168.0,535.0,5476183.0,4059286.0,1.4103251865759951,98.54746840436106,312.26673853480634
Lebanon,1228639.0,10790.0,1087587.0,130262.0,4795578.0,6684849.0,0.8782075125402987,88.51965467480683,183.79457785807875
Guatemala,1227853.0,20106.0,1204545.0,3202.0,6757892.0,18584039.0,1.6374924359837864,98.1017271611504,66.07029828122938
Bolivia,1187986.0,22346.0,1146143.0,19497.0,2705422.0,11992656.0,1.8809985976265713,96.47782044569549,99.05945772145887
Costa Rica,1186176.0,9158.0,860711.0,316307.0,4659757.0,5182354.0,0.7720608071652099,72.5618289360095,228.8874901251439
Cuba,1112438.0,8530.0,1103799.0,109.0,14298479.0,11305652.0,0.766784306181558,99.22341739494695,98.39662498014268
Ecuador,1051239.0,35942.0,1011682.0,3615.0,3082403.0,18113361.0,3.4190131834910993,96.23710688054761,58.036661445658815
UAE,1049409.0,2348.0,1032735.0,14326.0,198638806.0,10081785.0,0.22374498408151636,98.41110567948245,104.08960318038919
Uruguay,1032710.0,7609.0,1023939.0,1162.0,6114822.0,3496016.0,0.7367992950586322,99.15068121737953,295.3962453261084
